0.4388	5
0.3693	8
0.4062	7
0.3099	9
0.6066	7
0.7747	10
0.7457	8
0.2088	1
0.4528	10
0.1681	5
0.5094	10
0.9908	5
0.9104	0
0.176	5
0.8647	4
0.4407	4
0.6514	8
0.868	1
0.1861	3
0.653	4
0.8202	5
0.5739	6
0.9699	4
0.6486	9
0.8292	6
0.776	9
0.4057	9
0.3272	7
0.2073	8
0.4141	1
0.7228	1
0.0496	10
0.977	10
0.7354	6
0.8091	0
0.8822	5
0.9399	2
0.0488	9
0.3132	9
0.2479	9
0.1208	9
0.0075	9
0.9963	2
0.4193	3
0.2261	4
0.503	10
0.6881	1
0.6079	4
0.4084	1
0.0963	8
0.215	5
0.7416	1
0.9706	9
0.9167	6
0.1178	10
0.4143	5
0.5623	7
0.4271	8
0.2305	1
0.3747	0
0.7585	1
0.8582	4
0.5422	6
0.1517	9
0.8849	6
0.9767	1
0.5121	6
0.8806	4
0.6913	2
0.3252	4
0.9534	8
0.2269	9
0.2789	7
0.1372	4
0.4383	0
0.7882	4
0.9682	4
0.4033	0
0.3299	3
0.2319	4
0.9605	5
0.4153	3
0.7239	0
0.3609	10
0.5543	0
0.5031	1
0.6777	5
0.4685	7
0.2431	6
0.239	5
0.6588	6
0.5084	0
0.7066	0
0.9014	0
0.3211	8
0.1985	5
0.2195	6
0.8724	1
0.3148	0
0.6609	8
0.0807	9
0.6886	6
0.2109	10
0.2624	8
0.3029	8
0.8791	10
0.9918	2
0.4587	9
0.9587	1
0.8586	0
0.3408	2
0.7353	0
0.4661	4
0.8037	1
0.5545	1
0.5689	6
0.0827	5
0.0164	3
0.7195	4
0.3679	2
0.1423	3
0.5609	10
0.0694	6
0.06	9
0.0705	1
0.4982	2
0.7338	4
0.4941	9
