10
5
36176.106040	5652.879175	20664.788390	85974.561690	92625.931630
69263.745860	69698.341220	15019.164340	47165.116720	31311.393910
95644.222160	54771.239760	78226.332350	22329.258230	87641.894670
62714.208490	13502.526540	54647.354750	46419.198010	53304.949540
7479.149325	35949.994560	88167.026040	26504.128610	95813.260070
60037.812620	85421.687350	89121.682840	3092.057932	78274.043660
30879.578710	71777.694340	2300.148360	33730.324110	64815.330850
81735.469830	12245.009710	79353.444100	64958.675660	20303.698100
59070.541560	90357.005400	1281.447059	40324.778260	53615.492470
68245.655510	85085.334330	76956.951120	6550.185257	64643.369460
